35228;RU;MAL;DEODORO;478;-38.321.015;-3.443.781
2192150;RU;FIS;VIEIRA;4230;-38.308.993;-3.455.089
5884509;RU; ;SILVA JARDIM;995;-38.319.838;-3.444.347
31680;RU; ;NAPOLEAO LAUREANO;218;-38.317.595;-3.450.222
29599;RU; ;CARLOS GOMES;364;-38.317.686;-3.444.408
5867239;RU;MAL;DEODORO;1301;-38.322.922;-3.448.015
31096;RU;MON;OTAVIO DE CASTRO;496;-38.316.267;-3.448.079
6808;RU; ;LIBERATO BARROSO;192;-38.317.562;-3.436.876
4578331;RU; ;PEDRO PEREIRA;692;-38.318.935;-3.437.223
4972615;RU; ;PEDRO PEREIRA;686;-38.319.117;-3.437.118
5251385;RU; ;PEDRO PEREIRA;686;-38.319.117;-3.437.118
9930;RU; ;DO TRILHO;1121;-38.319.921;-3.431.727
1390648;RU;SAO;PAULO;317;-38.317.330;-3.435.367
7049;RU; ;LIBERATO BARROSO;680;;
5571290;RU; ;RUBIA SAMPAIO;1382;-38.324.772;-3.440.528
2638246;;;;733;;
5060962;RU;MAL;DEODORO;670;-38.321.637;-3.444.694
244100;RU;MAL;DEODORO;1366;-38.323.026;-3.448.369
4289489;RU; ;ILDEFONSO ALBANO;2151;-38.309.275;-3.443.833
7353;RU; ;GUILHERME ROCHA;917;-38.320.576;-3.435.099
211147;RU; ;PAULO FIRMEZA;793;-38.307.431;-3.454.195
3021615;RU;MAL;DEODORO;55;-38.320.120;-3.441.746
36503;RU;SEN;CATUNDA;76;-38.321.582;-3.443.896
186387;AV; ;AGUANAMBI;1479;-38.314.102;-3.450.132
37667;RU;PDE;MORORO;1928;-38.324.057;-3.440.354
5487497;RU;GAL;CLARINDO DE QUEIROZ;1090;-38.320.348;-3.438.909
38347;RU;PDE;FRANCISCO PINTO;653;-38.325.339;-3.444.882
30283;RU;CON;TRISTAO;1367;-38.317.373;-3.447.439
29496;RU; ;JOAQUIM MAGALHAES;1033;-38.317.444;-3.443.772
5643993;RU;MON;OTAVIO DE CASTRO;184;;
